,기준_년_코드,기준_분기_코드,상권_구분_코드,상권_구분_코드_명,상권_코드,상권_코드_명,서비스_업종_코드,서비스_업종_코드_명,분기당_매출_금액,분기당_매출_건수,주중_매출_비율,주말_매출_비율,월요일_매출_비율,화요일_매출_비율,수요일_매출_비율,목요일_매출_비율,금요일_매출_비율,토요일_매출_비율,일요일_매출_비율,시간대_00~06_매출_비율,시간대_06~11_매출_비율,시간대_11~14_매출_비율,시간대_14~17_매출_비율,시간대_17~21_매출_비율,시간대_21~24_매출_비율,남성_매출_비율,여성_매출_비율,연령대_10_매출_비율,연령대_20_매출_비율,연령대_30_매출_비율,연령대_40_매출_비율,연령대_50_매출_비율,연령대_60_이상_매출_비율,주중_매출_금액,주말_매출_금액,월요일_매출_금액,화요일_매출_금액,수요일_매출_금액,목요일_매출_금액,금요일_매출_금액,토요일_매출_금액,일요일_매출_금액,시간대_00~06_매출_금액,시간대_06~11_매출_금액,시간대_11~14_매출_금액,시간대_14~17_매출_금액,시간대_17~21_매출_금액,시간대_21~24_매출_금액,남성_매출_금액,여성_매출_금액,연령대_10_매출_금액,연령대_20_매출_금액,연령대_30_매출_금액,연령대_40_매출_금액,연령대_50_매출_금액,연령대_60_이상_매출_금액,주중_매출_건수,주말_매출_건수,월요일_매출_건수,화요일_매출_건수,수요일_매출_건수,목요일_매출_건수,금요일_매출_건수,토요일_매출_건수,일요일_매출_건수,시간대_건수~06_매출_건수,시간대_건수~11_매출_건수,시간대_건수~14_매출_건수,시간대_건수~17_매출_건수,시간대_건수~21_매출_건수,시간대_건수~24_매출_건수,남성_매출_건수,여성_매출_건수,연령대_10_매출_건수,연령대_20_매출_건수,연령대_30_매출_건수,연령대_40_매출_건수,연령대_50_매출_건수,연령대_60_이상_매출_건수,점포수
10,2017,1,A,골목상권,2111089,상일여고(상일초등학교),CS200001,일반교습학원,281476106,1022,94,6,27,10,23,11,23,5,1,0,1,19,41,30,10,50,51,0,0,2,76,22,0,263993617,17482489,74878218,29403211,65510317,29475559,64726312,14619121,2863368,0,1621436,54225062,115163460,83080530,27385618,139316859,142159247,0,0,5348525,214993688,61133893,0,971,51,285,113,230,114,229,41,10,0,8,177,417,329,91,513,509,0,0,32,753,237,0,24
11,2017,1,A,골목상권,2111089,상일여고(상일초등학교),CS200002,외국어학원,432137497,1492,87,13,18,27,17,12,14,8,4,0,2,12,32,48,6,46,55,0,0,8,80,12,0,377330798,54806699,75451990,117128486,74664666,51144182,58941474,35746110,19060589,624663,8657928,52478947,138060733,206085822,26229404,196682293,235455204,372837,0,36161781,345723949,49878930,0,1284,208,276,404,249,163,192,127,81,3,30,174,469,755,61,698,794,26,0,91,1193,182,0,11
12,2017,1,A,골목상권,2111089,상일여고(상일초등학교),CS200003,예술학원,69388656,523,100,0,24,14,24,18,21,0,0,0,1,19,35,42,3,31,69,1,0,21,69,6,3,69388656,0,16566711,9651564,16841463,12126699,14202219,0,0,0,619055,13495461,24260835,28812059,2201246,21090895,46920408,690113,149118,14085765,47057859,4217486,1810962,523,0,118,68,136,89,112,0,0,0,2,106,204,202,9,185,326,6,2,108,349,29,16,14
13,2017,1,A,골목상권,2111089,상일여고(상일초등학교),CS200005,스포츠 강습,84083288,385,97,3,14,29,13,26,16,3,0,0,4,14,23,44,15,29,71,1,24,25,37,9,4,81805175,2278113,11707533,24024660,10726761,22157170,13189051,2278113,0,0,3220065,12098090,19376368,37122180,12266585,23829767,59553521,691321,19653485,21183919,31091049,7487040,3276475,381,4,40,178,45,65,53,4,0,0,8,59,116,163,39,72,311,3,91,64,134,80,12,10
14,2017,1,A,골목상권,2111089,상일여고(상일초등학교),CS200006,일반의원,495109135,52670,87,13,21,19,16,15,17,13,0,0,21,31,31,17,0,49,51,1,7,18,23,28,23,432956115,62153020,101803635,93533510,78469810,74096366,85052794,62153020,0,0,104025920,153350166,152293737,85439312,0,234040981,239408630,2544453,34356302,86274033,108719819,133171733,108383272,46773,5897,11143,9437,8357,9052,8784,5897,0,0,12268,13561,17713,9128,0,25217,26059,326,4215,9906,13446,13419,9965,9
15,2017,1,A,골목상권,2111089,상일여고(상일초등학교),CS200007,치과의원,652956668,6085,97,3,18,22,16,25,15,3,0,0,12,35,36,18,0,54,46,0,4,16,22,35,23,634087015,18869653,120188596,146421805,103365704,165739813,98371097,18869653,0,0,76710888,225887717,233202586,117155477,0,347067187,298325609,734553,28015837,102942107,141970649,224346500,147383151,5849,236,1214,1336,1048,1199,1052,236,0,0,929,1937,2205,1014,0,3405,2629,19,614,1134,1409,1854,1003,6
16,2017,1,A,골목상권,2111089,상일여고(상일초등학교),CS200008,한의원,323727220,13132,85,15,20,16,21,12,16,15,0,0,8,36,35,21,0,50,50,0,4,15,31,25,24,275216242,48510978,64530915,52478069,66794984,39730782,51681492,48510978,0,0,24226015,117959127,113186378,68355700,0,155174561,157755932,941688,12444719,46537653,98307036,78878282,75821118,11653,1479,2353,2392,2217,2349,2342,1479,0,0,1358,4983,3746,3045,0,6659,6146,114,1175,2199,3234,3238,2846,12
17,2017,1,A,골목상권,2111089,상일여고(상일초등학교),CS200016,당구장,26609287,2035,72,28,13,14,15,16,15,15,13,15,0,5,8,31,40,92,8,4,17,18,30,23,8,19238114,7371173,3522822,3673150,3874194,4282342,3885606,3982697,3388476,4030063,0,1349891,2135782,8349306,10744245,24090573,2045646,1058653,4439095,4610359,7929109,6044735,2054267,1511,524,280,293,302,327,309,270,254,267,0,146,168,678,776,1860,152,137,399,336,543,442,155,9
18,2017,1,A,골목상권,2111089,상일여고(상일초등학교),CS200017,골프연습장,49664899,1048,67,33,15,9,18,9,17,18,15,20,1,5,18,30,26,76,24,0,1,16,34,44,5,33375680,16289219,7614265,4284941,8668155,4349131,8459188,8820563,7468656,9805649,690392,2684406,8712869,14798095,12973488,28927043,9296057,0,263923,6208120,13112668,16697287,1941102,711,337,118,123,149,140,181,199,138,174,3,61,134,335,341,711,176,0,12,162,356,295,63,3
19,2017,1,A,골목상권,2111089,상일여고(상일초등학교),CS200019,PC방,60784860,13385,68,32,14,13,14,13,14,15,17,23,9,7,10,27,24,78,22,12,74,8,3,4,0,41476688,19308172,8252054,7915711,8582738,8010547,8715638,8882604,10425568,13864254,5436539,4292911,6034380,16590252,14566524,47614947,13169913,7105635,44751308,4560060,2013880,2219844,134133,9199,4186,1800,1535,2014,1784,2066,1898,2288,2753,1093,932,1380,3756,3471,9896,3489,2026,9251,992,550,534,32,6
